CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,AvgBalance,AvgSalary,BalanceStandardized
603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0,119730.1161339179,101113.43510163411,0.5237736209156963
751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0,119730.1161339179,101113.43510163411,1.496059620393335
581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0,119730.1161339179,101113.43510163411,0.4030361211700456
735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0,119730.1161339179,101113.43510163411,0.748371754269159
661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0,119730.1161339179,101113.43510163411,1.1898468010272087
675,France,Female,21,8,98373.26,1,1,0,18203.0,0,62092.63651575588,99899.18081372158,0.35079127235539426
738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,119730.1161339179,101113.43510163411,0.9177050506915502
813,France,Male,29,6,0.0,1,1,0,33953.87,0,62092.63651575588,99899.18081372158,-1.2258476714090278
657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0,61818.14776342349,99440.57228098506,1.396302407458702
604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0,119730.1161339179,101113.43510163411,1.3029230222109995
519,France,Male,36,9,0.0,2,0,1,145562.4,0,62092.63651575588,99899.18081372158,-1.2258476714090278
735,France,Female,21,1,178718.19,2,1,0,22388.0,0,62092.63651575588,99899.18081372158,1.638488209226516
664,France,Male,55,8,0.0,2,1,1,139161.64,0,62092.63651575588,99899.18081372158,-1.2258476714090278
678,France,Female,32,9,0.0,1,1,1,148210.64,0,62092.63651575588,99899.18081372158,-1.2258476714090278
757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0,61818.14776342349,99440.57228098506,0.012298092828129055
416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0,119730.1161339179,101113.43510163411,0.732499307041558
665,France,Female,34,1,96645.54,2,0,0,171413.66,0,62092.63651575588,99899.18081372158,0.32310091589144596
777,France,Female,32,2,0.0,1,1,0,136458.19,1,62092.63651575588,99899.18081372158,-1.2258476714090278
543,France,Female,36,3,0.0,2,0,0,26019.59,0,62092.63651575588,99899.18081372158,-1.2258476714090278
506,France,Female,34,4,90307.62,1,1,1,159235.29,0,62092.63651575588,99899.18081372158,0.22152238230962296
493,France,Female,46,4,0.0,2,1,0,1907.66,0,62092.63651575588,99899.18081372158,-1.2258476714090278
652,Spain,Female,75,10,0.0,2,1,1,114675.75,0,61818.14776342349,99440.57228098506,-1.2258476714090278
750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1,61818.14776342349,99440.57228098506,0.7243601000944535
729,France,Male,30,9,0.0,2,1,0,151869.35,0,62092.63651575588,99899.18081372158,-1.2258476714090278
646,France,Female,46,4,0.0,3,1,0,93251.42,1,62092.63651575588,99899.18081372158,-1.2258476714090278
635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0,119730.1161339179,101113.43510163411,0.0823437706045412
647,Spain,Female,44,5,0.0,3,1,1,174205.22,1,61818.14776342349,99440.57228098506,-1.2258476714090278
808,France,Male,45,7,118626.55,2,1,0,147132.46,0,62092.63651575588,99899.18081372158,0.6753929553061733
524,France,Female,36,10,0.0,2,1,0,109614.57,0,62092.63651575588,99899.18081372158,-1.2258476714090278
769,France,Male,29,8,0.0,2,1,1,172290.61,0,62092.63651575588,99899.18081372158,-1.2258476714090278
730,Spain,Male,42,4,0.0,2,0,1,85982.47,0,61818.14776342349,99440.57228098506,-1.2258476714090278
515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0,61818.14776342349,99440.57228098506,1.5993141087452802
773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0,61818.14776342349,99440.57228098506,0.4221788999539574
814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0,119730.1161339179,101113.43510163411,0.3301666270892652
710,Spain,Male,22,8,0.0,2,0,0,99645.04,0,61818.14776342349,99440.57228098506,-1.2258476714090278
413,France,Male,34,9,0.0,2,0,0,6534.18,0,62092.63651575588,99899.18081372158,-1.2258476714090278
665,France,Female,40,6,0.0,1,1,1,161848.03,0,62092.63651575588,99899.18081372158,-1.2258476714090278
623,France,Female,44,6,0.0,2,0,0,167162.43,0,62092.63651575588,99899.18081372158,-1.2258476714090278
738,France,Male,31,9,82674.15,1,1,0,41970.72,0,62092.63651575588,99899.18081372158,0.09917992788595736
528,Spain,Male,36,7,0.0,2,1,0,60536.56,0,61818.14776342349,99440.57228098506,-1.2258476714090278
670,Spain,Female,65,1,0.0,1,1,1,177655.68,1,61818.14776342349,99440.57228098506,-1.2258476714090278
622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1,61818.14776342349,99440.57228098506,0.4902272794282505
582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0,119730.1161339179,101113.43510163411,0.19958127032437928
785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0,119730.1161339179,101113.43510163411,0.37376757529982507
605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0,61818.14776342349,99440.57228098506,1.1797059684586013
479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1,119730.1161339179,101113.43510163411,0.26201118652800254
685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0,119730.1161339179,101113.43510163411,0.22519563538186405
538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0,119730.1161339179,101113.43510163411,0.505963175688639
562,France,Male,42,2,100238.35,1,0,0,86797.41,0,62092.63651575588,99899.18081372158,0.3806832727590162
675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0,61818.14776342349,99440.57228098506,0.4760798299237842
721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1,119730.1161339179,101113.43510163411,1.2499486194025073
628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0,119730.1161339179,101113.43510163411,0.8953608569192877
668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0,119730.1161339179,101113.43510163411,1.4645333357025436
506,France,Female,41,1,0.0,2,1,0,31766.3,0,62092.63651575588,99899.18081372158,-1.2258476714090278
524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1,119730.1161339179,101113.43510163411,0.5021732452641317
699,Germany,Male,34,4,185173.81,2,1,0,120834.48,0,119730.1161339179,101113.43510163411,1.74195313351737
828,France,Male,34,8,129433.34,2,0,0,38131.77,0,62092.63651575588,99899.18081372158,0.8485945547152395
674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0,61818.14776342349,99440.57228098506,0.7005053513151716
656,France,Female,39,6,0.0,2,1,0,141069.88,0,62092.63651575588,99899.18081372158,-1.2258476714090278
684,Germany,Female,48,10,126384.42,1,1,1,198129.36,0,119730.1161339179,101113.43510163411,0.7997291820680158
625,France,Female,28,3,0.0,1,0,0,183646.41,0,62092.63651575588,99899.18081372158,-1.2258476714090278
432,France,Male,42,9,152603.45,1,1,0,110265.24,1,62092.63651575588,99899.18081372158,1.2199444292370911
549,France,Female,52,1,0.0,1,0,1,8636.05,1,62092.63651575588,99899.18081372158,-1.2258476714090278
625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1,119730.1161339179,101113.43510163411,1.1542940257856116
828,France,Female,41,7,0.0,2,1,0,171378.77,0,62092.63651575588,99899.18081372158,-1.2258476714090278
770,France,Male,24,9,101827.07,1,1,0,167256.35,0,62092.63651575588,99899.18081372158,0.4061458610959018
758,France,Female,34,3,0.0,2,1,1,124226.16,0,62092.63651575588,99899.18081372158,-1.2258476714090278
795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0,119730.1161339179,101113.43510163411,0.871498735669945
687,France,Male,38,9,122570.87,1,1,1,35608.88,0,62092.63651575588,99899.18081372158,0.7386090011977995
686,France,Male,25,1,0.0,2,0,1,16459.37,0,62092.63651575588,99899.18081372158,-1.2258476714090278
789,Germany,Male,39,7,124828.46,2,1,1,124411.08,0,119730.1161339179,101113.43510163411,0.7747916418163288
589,Germany,Female,50,5,144895.05,2,1,1,34941.23,0,119730.1161339179,101113.43510163411,1.096401063548959
461,Germany,Female,34,5,63663.93,1,0,1,167784.28,0,119730.1161339179,101113.43510163411,-0.20549893689426124
637,France,Male,40,2,133463.1,1,0,1,93165.34,0,62092.63651575588,99899.18081372158,0.9131799567851122
584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1,61818.14776342349,99440.57228098506,2.190269672220738
579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1,61818.14776342349,99440.57228098506,0.8495084204606
756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0,119730.1161339179,101113.43510163411,0.9771119336280757
663,France,Male,34,7,0.0,2,1,1,180427.24,0,62092.63651575588,99899.18081372158,-1.2258476714090278
682,France,Female,43,5,125851.93,1,1,1,193318.33,0,62092.63651575588,99899.18081372158,0.7911949068883061
793,Spain,Male,52,2,0.0,1,1,0,159123.82,1,61818.14776342349,99440.57228098506,-1.2258476714090278
691,France,Female,31,5,40915.55,1,1,0,126213.84,1,62092.63651575588,99899.18081372158,-0.5700896988101691
485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0,61818.14776342349,99440.57228098506,0.5877354081810798
635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0,61818.14776342349,99440.57228098506,0.9906524365212337
650,France,Male,37,5,106967.18,1,0,0,24495.03,0,62092.63651575588,99899.18081372158,0.4885269634527102
735,France,Male,44,9,120681.63,1,1,0,74836.34,0,62092.63651575588,99899.18081372158,0.7083299461159868
416,France,Male,32,0,0.0,2,0,1,878.87,0,62092.63651575588,99899.18081372158,-1.2258476714090278
754,Spain,Female,32,7,0.0,2,1,0,89520.75,0,61818.14776342349,99440.57228098506,-1.2258476714090278
535,France,Female,48,9,0.0,1,1,0,149892.79,1,62092.63651575588,99899.18081372158,-1.2258476714090278
716,Spain,Male,42,8,0.0,2,1,0,180800.42,0,61818.14776342349,99440.57228098506,-1.2258476714090278
539,France,Male,37,2,127609.59,1,1,0,98646.22,0,62092.63651575588,99899.18081372158,0.8193651149905585
614,France,Female,43,6,0.0,2,1,1,109041.53,0,62092.63651575588,99899.18081372158,-1.2258476714090278
706,Spain,Male,57,7,0.0,1,1,0,17941.16,1,61818.14776342349,99440.57228098506,-1.2258476714090278
758,France,Female,33,7,0.0,2,0,0,82996.47,0,62092.63651575588,99899.18081372158,-1.2258476714090278
586,Spain,Female,28,2,0.0,2,1,1,92067.35,0,61818.14776342349,99440.57228098506,-1.2258476714090278
646,France,Female,73,6,97259.25,1,0,1,104719.66,0,62092.63651575588,99899.18081372158,0.3329369128501487
631,Germany,Female,33,4,123246.7,1,0,0,112687.57,0,119730.1161339179,101113.43510163411,0.7494406021568844
717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0,61818.14776342349,99440.57228098506,0.3938559535045762
684,France,Male,30,2,0.0,2,1,0,83473.82,0,62092.63651575588,99899.18081372158,-1.2258476714090278
800,France,Female,49,7,108007.36,1,0,0,47125.11,0,62092.63651575588,99899.18081372158,0.5051980415132002
721,Spain,Female,36,2,0.0,2,1,1,106977.8,0,61818.14776342349,99440.57228098506,-1.2258476714090278
683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1,61818.14776342349,99440.57228098506,0.917023097210928
660,Germany,Male,31,9,125189.75,2,1,1,139874.43,0,119730.1161339179,101113.43510163411,0.7805820759647206
704,Germany,Female,24,7,113034.22,1,1,0,162503.48,1,119730.1161339179,101113.43510163411,0.5857640737952617
615,Spain,Female,41,9,109013.23,1,1,0,196499.96,0,61818.14776342349,99440.57228098506,0.5213192294698087
667,Spain,Female,39,2,0.0,2,1,0,40721.24,1,61818.14776342349,99440.57228098506,-1.2258476714090278
682,Germany,Male,24,9,57929.81,2,0,0,53134.3,0,119730.1161339179,101113.43510163411,-0.29740030216586505
484,France,Female,29,4,130114.39,1,1,0,164017.89,0,62092.63651575588,99899.18081372158,0.8595098171824055
628,Germany,Male,27,5,95826.49,2,1,0,155996.96,0,119730.1161339179,101113.43510163411,0.3099739124060452
480,Germany,Male,44,10,129608.57,1,1,0,5472.7,1,119730.1161339179,101113.43510163411,0.8514029849951331
578,France,Male,30,4,169462.09,1,1,0,112187.11,0,62092.63651575588,99899.18081372158,1.4901396872056145
512,France,Male,40,5,0.0,2,1,1,146457.83,0,62092.63651575588,99899.18081372158,-1.2258476714090278
484,Spain,Female,35,7,133868.21,1,1,1,27286.1,0,61818.14776342349,99440.57228098506,0.9196726988423377
510,France,Female,30,0,0.0,2,1,1,130553.47,0,62092.63651575588,99899.18081372158,-1.2258476714090278
606,Germany,Male,36,5,190479.48,2,0,0,179351.89,0,119730.1161339179,101113.43510163411,1.8269876840117074
597,Spain,Female,40,8,101993.12,1,0,1,94774.12,0,61818.14776342349,99440.57228098506,0.40880716251675603
754,Germany,Female,55,3,161608.81,1,1,0,8080.85,1,119730.1161339179,101113.43510163411,1.3642743139905127
850,Spain,Female,45,2,122311.21,1,1,1,19482.5,0,61818.14776342349,99440.57228098506,0.7344474021195758
510,France,Male,65,2,0.0,2,1,1,48071.61,0,62092.63651575588,99899.18081372158,-1.2258476714090278
778,Germany,Female,45,1,162150.42,2,1,0,174531.27,0,119730.1161339179,101113.43510163411,1.3729547564027318
636,France,Male,42,2,0.0,2,1,1,55470.78,0,62092.63651575588,99899.18081372158,-1.2258476714090278
804,France,Female,50,4,0.0,1,1,1,8546.87,1,62092.63651575588,99899.18081372158,-1.2258476714090278
514,France,Male,32,8,0.0,2,1,0,95857.18,0,62092.63651575588,99899.18081372158,-1.2258476714090278
730,France,Female,39,1,99010.67,1,1,0,194945.8,0,62092.63651575588,99899.18081372158,0.36100711179331557
525,Spain,Female,37,0,0.0,1,0,1,131521.72,0,61818.14776342349,99440.57228098506,-1.2258476714090278
616,Spain,Male,30,5,0.0,2,0,1,196108.51,0,61818.14776342349,99440.57228098506,-1.2258476714090278
687,Germany,Female,34,7,111388.18,2,1,0,148564.76,0,119730.1161339179,101113.43510163411,0.5593828115803672
715,France,Female,41,8,56214.85,2,0,0,92982.61,1,62092.63651575588,99899.18081372158,-0.3248861527211708
512,France,Female,36,3,84327.77,2,1,0,17675.36,0,62092.63651575588,99899.18081372158,0.12568267558576662
479,France,Male,40,1,0.0,2,0,0,114996.43,0,62092.63651575588,99899.18081372158,-1.2258476714090278
601,France,Male,32,8,93012.89,1,1,0,86957.42,0,62092.63651575588,99899.18081372158,0.26488003900817686
580,Spain,Male,29,9,61710.44,2,1,0,128077.8,0,61818.14776342349,99440.57228098506,-0.23680773371825953
807,France,Male,35,3,174790.15,1,1,1,600.36,0,62092.63651575588,99899.18081372158,1.575533084666606
616,Spain,Female,32,6,0.0,2,1,1,43001.46,0,61818.14776342349,99440.57228098506,-1.2258476714090278
721,Germany,Male,37,3,107720.64,1,1,1,158591.12,0,119730.1161339179,101113.43510163411,0.5006027488700965
501,France,Male,57,10,0.0,2,1,1,47847.19,0,62092.63651575588,99899.18081372158,-1.2258476714090278
521,France,Male,35,6,96423.84,1,1,0,10488.44,0,62092.63651575588,99899.18081372158,0.31954770586432507
850,Spain,Male,30,2,141040.01,1,1,1,5978.2,0,61818.14776342349,99440.57228098506,1.0346159179334782
759,France,Male,42,4,105420.18,1,0,1,121409.06,0,62092.63651575588,99899.18081372158,0.46373302609611994
516,Spain,Male,50,5,0.0,1,0,1,146145.93,1,61818.14776342349,99440.57228098506,-1.2258476714090278
711,France,Female,38,2,129022.06,2,1,1,14374.86,1,62092.63651575588,99899.18081372158,0.8420029253965462
512,Spain,Male,33,3,176666.62,1,1,0,94670.77,0,61818.14776342349,99440.57228098506,1.605607473568688
550,France,Male,37,3,0.0,1,1,1,179670.31,0,62092.63651575588,99899.18081372158,-1.2258476714090278
608,Spain,Female,41,3,89763.84,1,0,0,199304.74,1,61818.14776342349,99440.57228098506,0.21280716107124767
618,France,Male,34,5,134954.53,1,1,1,151954.39,0,62092.63651575588,99899.18081372158,0.9370832677041421
643,France,Male,45,5,0.0,1,1,0,142513.5,1,62092.63651575588,99899.18081372158,-1.2258476714090278
671,France,Male,45,2,106376.85,1,0,1,158264.62,0,62092.63651575588,99899.18081372158,0.47906568029840146
689,Germany,Male,33,2,161814.64,2,1,0,169381.9,0,119730.1161339179,101113.43510163411,1.3675731738005368
603,France,Male,31,8,0.0,2,1,1,169915.02,0,62092.63651575588,99899.18081372158,-1.2258476714090278
620,France,Female,41,9,0.0,2,0,0,88852.47,0,62092.63651575588,99899.18081372158,-1.2258476714090278
676,France,Female,34,1,63095.01,1,1,1,40645.81,0,62092.63651575588,99899.18081372158,-0.21461707964856716
572,Germany,Male,26,4,118287.01,2,0,0,60427.3,0,119730.1161339179,101113.43510163411,0.6699511107747855
668,Germany,Male,47,7,106854.21,1,0,1,157959.02,1,119730.1161339179,101113.43510163411,0.486716380968435
695,France,Male,46,7,49512.55,1,1,0,133007.34,0,62092.63651575588,99899.18081372158,-0.4323046442176636
730,Spain,Female,33,9,0.0,2,0,0,176576.62,0,61818.14776342349,99440.57228098506,-1.2258476714090278
807,France,Male,43,1,105799.32,2,1,0,34888.04,1,62092.63651575588,99899.18081372158,0.46980954413708825
592,France,Male,54,8,0.0,1,1,1,28737.71,1,62092.63651575588,99899.18081372158,-1.2258476714090278
726,France,Female,31,9,114722.05,2,1,1,98178.57,0,62092.63651575588,99899.18081372158,0.6128151088880696
514,Spain,Male,30,7,0.0,1,0,1,125010.24,0,61818.14776342349,99440.57228098506,-1.2258476714090278
567,France,Male,42,2,0.0,2,1,1,167984.61,0,62092.63651575588,99899.18081372158,-1.2258476714090278
850,France,Male,33,10,0.0,1,1,0,4861.72,1,62092.63651575588,99899.18081372158,-1.2258476714090278
671,Germany,Male,45,6,99564.22,1,1,1,108872.45,1,119730.1161339179,101113.43510163411,0.36987891788493843
670,France,Male,37,4,170557.91,2,1,0,198252.88,0,62092.63651575588,99899.18081372158,1.507702513601283
694,France,Female,30,9,0.0,2,1,1,26960.31,0,62092.63651575588,99899.18081372158,-1.2258476714090278
547,Germany,Female,39,6,74596.15,3,1,1,85746.52,1,119730.1161339179,101113.43510163411,-0.03028705722492545
751,Germany,Male,50,2,96888.39,1,1,0,77206.25,1,119730.1161339179,101113.43510163411,0.3269930992702747
594,Germany,Female,29,3,130830.22,1,1,0,61048.53,0,119730.1161339179,101113.43510163411,0.870982502494602
673,France,Male,72,1,0.0,2,0,1,111981.19,0,62092.63651575588,99899.18081372158,-1.2258476714090278
610,France,Male,40,0,0.0,2,1,0,62232.6,0,62092.63651575588,99899.18081372158,-1.2258476714090278
512,France,Female,37,1,0.0,2,0,1,156105.03,0,62092.63651575588,99899.18081372158,-1.2258476714090278
767,Germany,Male,20,3,119714.25,2,0,1,150135.38,0,119730.1161339179,101113.43510163411,0.6928256415781597
585,France,Female,67,5,113978.97,2,0,1,93146.11,0,62092.63651575588,99899.18081372158,0.6009056848603158
763,Germany,Male,42,6,100160.75,1,1,0,33462.94,1,119730.1161339179,101113.43510163411,0.37943956911397964
712,France,Female,29,2,0.0,1,1,1,144375.0,0,62092.63651575588,99899.18081372158,-1.2258476714090278
539,Germany,Female,43,3,116220.5,3,1,0,55803.96,1,119730.1161339179,101113.43510163411,0.6368309301110705
668,France,Female,46,2,0.0,3,1,0,89048.46,1,62092.63651575588,99899.18081372158,-1.2258476714090278
703,France,Male,28,2,81173.83,2,0,1,162812.16,0,62092.63651575588,99899.18081372158,0.07513413596944848
662,Spain,Male,38,4,0.0,2,1,0,136259.65,0,61818.14776342349,99440.57228098506,-1.2258476714090278
725,Germany,Female,39,5,116803.8,1,1,0,124052.97,0,119730.1161339179,101113.43510163411,0.6461795426903202
703,France,Male,37,8,105961.68,2,0,1,74158.8,0,62092.63651575588,99899.18081372158,0.4724117055263679
659,Germany,Male,67,6,117411.6,1,1,1,45071.09,1,119730.1161339179,101113.43510163411,0.6559208194358506
523,Spain,Male,34,7,0.0,2,1,0,62030.06,0,61818.14776342349,99440.57228098506,-1.2258476714090278
635,France,Female,40,10,123497.58,1,1,0,131953.23,1,62092.63651575588,99899.18081372158,0.7534614832196003
772,Germany,Male,26,7,152400.51,2,1,0,79414.0,0,119730.1161339179,101113.43510163411,1.2166918877715795
545,France,Female,26,1,0.0,2,1,1,199638.56,0,62092.63651575588,99899.18081372158,-1.2258476714090278
634,Germany,Male,24,8,103097.85,1,1,1,157577.29,0,119730.1161339179,101113.43510163411,0.42651279045208
739,Germany,Male,54,8,126418.14,1,1,0,134420.75,1,119730.1161339179,101113.43510163411,0.8002696161776889
771,Germany,Female,36,5,77846.9,1,0,0,99805.99,0,119730.1161339179,101113.43510163411,0.021813066797010956
